id,rle_mask
84f4a771f3,4445 17 4546 33 4647 55 4748 68 4850 98 4958 93 5071 81 5179 74 5284 70 5388 67 5491 65 5593 64 5694 64 5795 64 5895 65 5996 65 6096 66 6196 67 6296 68 6396 69 6495 71 6594 73 6693 75 6791 78 6889 81 6986 85 7082 90 7179 94 7277 97 7375 2827
526179a9b1,8381 3 8478 7 8576 10 8671 16 8769 19 8866 23 8964 26 9061 30 9159 33 9257 36 9356 38 9454 41 9553 43 9651 46 9749 49 9848 51 9945 55 10043 58 10141 61
dc2a31bc27,
4dee03c883,
0cf4d64a89,4238 5 4333 11 4427 18 4522 24 4616 31 4711 37 4805 44 4899 51 4993 58 5089 63 5185 68 5281 73 5375 80 5471 85 5568 89 5664 94 5761 4441
901cf47850,40 62 141 62 241 63 342 63 442 64 542 65 642 66 743 66 843 67 943 68 1043 69 1143 70 1243 71 1343 72 1443 73 1542 75 1642 76 1743 76 1843 77 1943 78 2044 78 2144 79 2244 80 2345 80 2445 81 2546 81 2646 82 2745 84 2844 86 2944 87 3043 89 3142 91 3242 92 3342 93 3442 94 3542 95 3643 95 3744 95 3845 95 3947 94 4048 94 4150 93 4251 93 4353 92 4454 92 4556 91 4658 90 4759 90 4861 89 4963 88 5065 87 5166 87 5267 87 5369 86 5470 86 5572 85 5674 84 5776 83 5878 82 5980 81 6082 80 6184 79 6286 78 6387 78 6489 77 6590 77 6692 76 6793 76 6895 75 6997 74 7099 73 7201 72 7303 71 7405 70 7508 68 7610 67 7712 66 7814 65 7916 64 8018 63 8120 62 8223 60 8325 59 8427 58 8529 57 8632 55 8734 54 8836 53 8938 52 9040 51 9141 51 9243 50 9344 50 9445 50 9546 50 9647 50 9747 51 9848 51 9949 51 10049 52 10150 52
6730d663de,25 65 126 66 228 65 329 65 430 65 531 65 633 64 734 64 836 63 937 63 1039 62 1140 62 1242 61 1343 61 1444 61 1545 61 1646 62 1745 64 1845 65 1944 67 2043 69 2143 70 2244 71 2346 70 2447 71 2548 72 2650 72 2752 72 2854 73 2956 75 3057 75 3158 75 3260 74 3361 74 3463 73 3564 73 3666 72 3767 72 3868 72 3968 73 4069 73 4169 74 4269 75 4368 77 4468 78 4568 79 4668 80 4766 83 4863 87 4960 91 5056 1005 6064 98 6166 97 6269 95 6371 94 6474 92 6575 92 6677 91 6778 91 6879 91 6980 91 7081 91 7181 92 7282 92 7382 93 7482 94 7580 499 8081 98 8182 96 8283 94 8384 91 8485 88 8586 86 8687 84 8788 82 8889 80 8990 78 9091 76 9192 75 9293 74 9394 73 9495 72 9596 71 9697 71 9798 70 9899 69 10000 68 10101 68
fff4282d5f,37 65 138 65 238 66 339 66 439 67 539 68 639 69 739 70 840 70 940 71 1040 72 1140 73 1240 74 1339 76 1439 77 1539 78 1639 79 1739 80 1839 81 1939 82 2039 83 2139 84 2239 85 2339 86 2439 87 2538 89 2638 90 2738 91 2838 92 2938 93 3038 94 3137 96 3237 97 3337 300 3638 100 3741 98 3844 96 3946 95 4049 93 4152 91 4255 89 4357 88 4459 87 4560 87 4662 86 4763 86 4863 87 4963 88 5063 89 5163 90 5264 90 5364 91 5464 92 5563 94 5664 94 5764 95 5864 96 5964 97 6065 97 6165 98 6266 98 6367 98 6467 3735
226c8cb7ea,
0cd43eb1d8,
